time,open,high,low,close
2013-05-25T00:00:00Z,122.8178799,129.73,122.8178799,128.345
2013-05-26T00:00:00Z,125.58144,130.29,125.58144,129.185
2013-05-27T00:00:00Z,127.38322,130.6,120.33,126.8625
2013-05-28T00:00:00Z,127.12286,127.12286,123,125.5575
2013-05-29T00:00:00Z,126.34018,130.4,125.53,128.0675
2013-05-30T00:00:00Z,127.20384,131,124.9,128.18
2013-05-31T00:00:00Z,127.69192,129.87,125.06,127.405
2013-06-01T00:00:00Z,127.54846,128.86,127.09,128.12
2013-06-02T00:00:00Z,127.83423,128.8,117.02,124.3975
2013-06-03T00:00:00Z,126.115865,126.115865,117,122.145
2013-06-04T00:00:00Z,124.1304325,124.1304325,116.32,120.9425
2013-06-05T00:00:00Z,122.5364662,122.74,119.65,121.0425
2013-06-06T00:00:00Z,121.7894831,121.7894831,118.43,119.88
2013-06-07T00:00:00Z,120.8347416,120.8347416,107,113.78
2013-06-08T00:00:00Z,117.3073708,117.3073708,108.44,110.045
2013-06-09T00:00:00Z,113.6761854,113.6761854,90,102.32
2013-06-10T00:00:00Z,107.9980927,107.9980927,93.1,101.3475
2013-06-11T00:00:00Z,104.6727963,108,102.97,105.635
2013-06-12T00:00:00Z,105.1538982,111.18,105.01,107.525
2013-06-13T00:00:00Z,106.3394491,108.43,95,102.8825
2013-06-14T00:00:00Z,104.6109745,104.6109745,95,99.705
2013-06-15T00:00:00Z,102.1579873,105,96.22,99.9125
2013-06-16T00:00:00Z,101.0352436,101.11,98,99.4775
2013-06-17T00:00:00Z,100.2563718,101.47,98.29,99.625
2013-06-18T00:00:00Z,99.94068591,108.18,99.94068591,103.265
2013-06-19T00:00:00Z,101.602843,107.5,101.602843,104.8075
2013-06-20T00:00:00Z,103.2051715,108,102.47,104.58
2013-06-21T00:00:00Z,103.8925857,104.86,90,99.915
2013-06-22T00:00:00Z,101.9037929,103,98.55,100.71
2013-06-23T00:00:00Z,101.3068964,101.45,98.5,100.09
2013-06-24T00:00:00Z,100.6984482,102.3,95,99.2925
2013-06-25T00:00:00Z,99.99547411,101,97.47,98.7925
2013-06-26T00:00:00Z,99.39398705,99.98,96.13,98.1125
2013-06-27T00:00:00Z,98.75324353,98.76,96,97.455
2013-06-28T00:00:00Z,98.10412176,98.10412176,88.01,93.1
2013-06-29T00:00:00Z,95.60206088,95.60206088,86.2,88.9975
2013-06-30T00:00:00Z,92.29978044,92.29978044,88.01,89.1675
2013-07-01T00:00:00Z,90.73364022,90.73364022,80.94,86.2525
2013-07-02T00:00:00Z,88.49307011,88.5,81.9,85.4525
2013-07-03T00:00:00Z,86.97278506,89.56,75.11,82.43
2013-07-04T00:00:00Z,84.70139253,84.70139253,70.06,77.6725
2013-07-05T00:00:00Z,81.18694626,81.18694626,63.26,72.2475
2013-07-06T00:00:00Z,76.71722313,76.71722313,63,67.3375
2013-07-07T00:00:00Z,72.02736157,73.96,64.5,69.69
2013-07-08T00:00:00Z,70.85868078,76.94,70.1,73.8525
2013-07-09T00:00:00Z,72.35559039,76.01,70.25,73.8175
2013-07-10T00:00:00Z,73.0865452,86.64,73.0865452,80.66
2013-07-11T00:00:00Z,76.8732726,89.96,76.8732726,86.7675
2013-07-12T00:00:00Z,81.8203863,100,81.8203863,91.145
2013-07-13T00:00:00Z,86.48269315,92.04,86.48269315,90.2625
2013-07-14T00:00:00Z,88.37259657,93,88.37259657,90.8925
2013-07-15T00:00:00Z,89.63254829,95,88.11,91.7275
2013-07-16T00:00:00Z,90.68002414,93.9,89.09,92.075
2013-07-17T00:00:00Z,91.37751207,92.37,89,90.9875
2013-07-18T00:00:00Z,91.18250604,91.18250604,77,86.06
2013-07-19T00:00:00Z,88.62125302,88.62125302,83.21,85.68
2013-07-20T00:00:00Z,87.15062651,87.15062651,84.27,85.7225
2013-07-21T00:00:00Z,86.43656325,86.99,84.25,85.5475
2013-07-22T00:00:00Z,85.99203163,87.08,83,85.3525
2013-07-23T00:00:00Z,85.67226581,88.88,82,85.8625
2013-07-24T00:00:00Z,85.76738291,88.48,85.73,87.3775
2013-07-25T00:00:00Z,86.57244145,90.66,86.57244145,89.08
2013-07-26T00:00:00Z,87.82622073,91.77,87.82622073,90.095
2013-07-27T00:00:00Z,88.96061036,90.16,87.8,89.0225
2013-07-28T00:00:00Z,88.99155518,94.01,87.9,90.695
2013-07-29T00:00:00Z,89.84327759,93.5,89.84327759,92.5375
2013-07-30T00:00:00Z,91.1903888,97,91.1903888,94.93
2013-07-31T00:00:00Z,93.0601944,101,93.0601944,97.815
2013-08-01T00:00:00Z,95.4375972,98.44,95.15,96.995
2013-08-02T00:00:00Z,96.2162986,98.71,93.03,96.055
2013-08-03T00:00:00Z,96.1356493,97,93.98,95.5875
2013-08-04T00:00:00Z,95.86157465,96.61,95.5,96.0075
2013-08-05T00:00:00Z,95.93453732,98.92,95.93453732,97.2775
2013-08-06T00:00:00Z,96.60601866,98.98,96.60601866,97.905
2013-08-07T00:00:00Z,97.25550933,98.32,95.5,97.1525
2013-08-08T00:00:00Z,97.20400467,97.20400467,91.11,94.9025
2013-08-09T00:00:00Z,96.05325233,96.05325233,90,93.07
2013-08-10T00:00:00Z,94.56162617,94.56162617,92.14,93.155
2013-08-11T00:00:00Z,93.85831308,94.58,93.12,93.825
2013-08-12T00:00:00Z,93.84165654,96.18,93.31,94.71
2013-08-13T00:00:00Z,94.27582827,98.19,94.24,96.4875
2013-08-14T00:00:00Z,95.38166414,101,95.38166414,98.7425
2013-08-15T00:00:00Z,97.06208207,100.01,96.68,98.49
2013-08-16T00:00:00Z,97.77604103,99,96.5,97.96
2013-08-17T00:00:00Z,97.86802052,99.82,97.48,98.8175
2013-08-18T00:00:00Z,98.34276026,99.99,98.34276026,99.3525
2013-08-19T00:00:00Z,98.84763013,105.16,98.84763013,101.5825
2013-08-20T00:00:00Z,100.2150651,104.88,100.2150651,103.245
2013-08-21T00:00:00Z,101.7300325,114,101.7300325,108.465
2013-08-22T00:00:00Z,105.0975163,113.02,105.0975163,110.41
2013-08-23T00:00:00Z,107.7537581,109.9,104.2,107.7175
2013-08-24T00:00:00Z,107.7356291,110.33,106.64,108.5075
2013-08-25T00:00:00Z,108.1215645,113.28,108.1215645,111.175
2013-08-26T00:00:00Z,109.6482823,113.3,109.6482823,112.1475
2013-08-27T00:00:00Z,110.8978911,118.93,110.8978911,115.0725
2013-08-28T00:00:00Z,112.9851956,119.63,112.9851956,118.08
2013-08-29T00:00:00Z,115.5325978,120,115.5325978,118.3525
2013-08-30T00:00:00Z,116.9425489,126.14,116.9425489,121.9875
